File Path,N,K,Iteration,CPU Time,Parallel Time,CPU Hull Size,Parallel Hull Size
./Testcases/Circle/points_circle_1000000.txt,1000000,128,1,44,7.88716,273,273
./Testcases/Circle/points_circle_1000000.txt,1000000,256,1,44,8.52573,273,273
./Testcases/Circle/points_circle_1000000.txt,1000000,512,1,44,9.50959,273,273
./Testcases/Uniform/points_uniform_1000000.txt,1000000,128,1,76,7.5103,31,31
./Testcases/Uniform/points_uniform_1000000.txt,1000000,256,1,76,7.3863,31,31
./Testcases/Uniform/points_uniform_1000000.txt,1000000,512,1,76,8.12919,31,31
./Testcases/Gaussian/points_gaussian_1000000.txt,1000000,128,1,18,7.17765,19,19
./Testcases/Gaussian/points_gaussian_1000000.txt,1000000,256,1,18,7.72517,19,19
./Testcases/Gaussian/points_gaussian_1000000.txt,1000000,512,1,18,8.29686,19,19
./Testcases/Circle/points_circle_1000000.txt,1000000,128,2,44,7.9855,273,273
./Testcases/Circle/points_circle_1000000.txt,1000000,256,2,44,8.50006,273,273
./Testcases/Circle/points_circle_1000000.txt,1000000,512,2,44,9.35816,273,273
./Testcases/Uniform/points_uniform_1000000.txt,1000000,128,2,76,7.23318,31,31
./Testcases/Uniform/points_uniform_1000000.txt,1000000,256,2,76,7.92614,31,31
./Testcases/Uniform/points_uniform_1000000.txt,1000000,512,2,76,8.13558,31,31
./Testcases/Gaussian/points_gaussian_1000000.txt,1000000,128,2,18,7.19943,19,19
./Testcases/Gaussian/points_gaussian_1000000.txt,1000000,256,2,18,7.43318,19,19
./Testcases/Gaussian/points_gaussian_1000000.txt,1000000,512,2,18,7.95093,19,19
./Testcases/Circle/points_circle_1000000.txt,1000000,128,3,45,7.8769,273,273
./Testcases/Circle/points_circle_1000000.txt,1000000,256,3,45,8.36698,273,273
./Testcases/Circle/points_circle_1000000.txt,1000000,512,3,45,9.28746,273,273
./Testcases/Uniform/points_uniform_1000000.txt,1000000,128,3,77,7.66236,31,31
./Testcases/Uniform/points_uniform_1000000.txt,1000000,256,3,77,7.85772,31,31
./Testcases/Uniform/points_uniform_1000000.txt,1000000,512,3,77,8.72123,31,31
./Testcases/Gaussian/points_gaussian_1000000.txt,1000000,128,3,18,7.25041,19,19
./Testcases/Gaussian/points_gaussian_1000000.txt,1000000,256,3,18,7.41024,19,19
./Testcases/Gaussian/points_gaussian_1000000.txt,1000000,512,3,18,8.15728,19,19
./Testcases/Circle/points_circle_1000000.txt,1000000,128,4,44,8.44657,273,273
./Testcases/Circle/points_circle_1000000.txt,1000000,256,4,44,8.52721,273,273
./Testcases/Circle/points_circle_1000000.txt,1000000,512,4,44,9.46097,273,273
./Testcases/Uniform/points_uniform_1000000.txt,1000000,128,4,76,7.81954,31,31
./Testcases/Uniform/points_uniform_1000000.txt,1000000,256,4,76,7.52354,31,31
